日期,最高气温,最低气温,天气,风向
2012-01-01,26℃,21℃,多云,东北风 3-4级
2012-01-02,26℃,21℃,多云,东北风 3-4级
2012-01-03,25℃,20℃,多云~小雨,东北风 3-4级
2012-01-04,24℃,19℃,阴~多云,东北风 3-4级
2012-01-05,23℃,17℃,多云,东北风 3-4级
2012-01-06,23℃,19℃,小雨~阴,东北风 3-4级
2012-01-07,25℃,20℃,多云,东北风 3-4级
2012-01-08,25℃,20℃,多云,东北风 3-4级
2012-01-09,26℃,19℃,多云,东北风 3-4级
2012-01-10,25℃,19℃,多云,东北风 3-4级
2012-01-11,26℃,20℃,多云,东北风 3-4级
2012-01-12,25℃,20℃,多云,东北风 3-4级
2012-01-13,24℃,22℃,阵雨,东风~东北风 3-4级
2012-01-14,26℃,22℃,多云,东风 3-4级
2012-01-16,27℃,22℃,多云,东南风 3-4级
2012-01-17,27℃,21℃,多云,东风 3-4级
2012-01-18,27℃,21℃,多云,东南风 3-4级
2012-01-19,28℃,22℃,多云,东南风 3-4级
2012-01-20,27℃,22℃,多云,东南风 3-4级
2012-01-21,29℃,21℃,多云,东南风 3-4级
2012-01-22,27℃,21℃,多云,东南风~东北风 3-4级~4-5级
2012-01-23,26℃,20℃,多云,东北风 4-5级
2012-01-24,25℃,19℃,小雨,东北风 3-4级
2012-01-25,24℃,18℃,阴~多云,东北风 3-4级~4-5级
2012-01-26,25℃,18℃,多云,东风 3-4级
2012-01-27,28℃,20℃,多云,东风 3-4级
2012-01-28,28℃,20℃,多云,东南风 3-4级
2012-01-29,28℃,18℃,多云,东北风 3-4级
2012-01-30,26℃,18℃,多云,东北风 3-4级
2012-01-31,24℃,19℃,多云,东北风 3-4级
2012-02-01,25℃,20℃,多云,东风 4-5级
2012-02-02,27℃,20℃,多云,东北风 3-4级
2012-02-03,26℃,21℃,多云,东风 3-4级
2012-02-04,25℃,21℃,多云,东北风~东南风 3-4级
2012-02-05,27℃,21℃,多云,东南风 3-4级
2012-02-06,28℃,22℃,多云,东南风 3-4级
2012-02-07,27℃,22℃,多云,东北风 4-5级
2012-02-08,26℃,20℃,多云,东北风 3-4级
2012-02-09,26℃,21℃,多云,东北风 3-4级
2012-02-10,27℃,21℃,多云,东风 3-4级
2012-02-11,27℃,20℃,多云,东北风 4-5级
2012-02-12,29℃,21℃,多云,东风 3-4级
2012-02-13,29℃,21℃,晴,东南风 3-4级
2012-02-14,29℃,21℃,多云,东南风 3-4级
2012-02-15,29℃,21℃,多云,东南风 3-4级
2012-02-16,27℃,21℃,多云,东北风 4-5级
2012-02-17,26℃,19℃,多云,东北风 3-4级
2012-02-18,29℃,21℃,多云,东南风 3-4级
2012-02-19,29℃,21℃,多云,东南风 3-4级
2012-02-20,27℃,20℃,多云,东风 3-4级
2012-02-21,27℃,21℃,多云,东风 3-4级
2012-02-22,28℃,22℃,多云,东南风 3-4级
2012-02-23,29℃,24℃,阴~多云,东南风 3-4级
2012-02-24,30℃,25℃,多云,南风 3-4级
2012-02-25,30℃,25℃,多云,东南风 3-4级
2012-02-26,29℃,23℃,多云,东北风 3-4级
2012-02-27,29℃,23℃,多云,东北风 3-4级
2012-02-28,28℃,21℃,阵雨,东北风 3-4级
2012-02-29,26℃,22℃,阴,东北风 3-4级
2012-03-01,29℃,23℃,多云,东南风 3-4级
2012-03-02,30℃,23℃,多云,东南风 3-4级
2012-03-03,31℃,23℃,多云,东南风 3-4级
2012-03-04,31℃,25℃,多云,东南风 3-4级
2012-03-05,31℃,25℃,多云,南风 3-4级
